IDc	Lat	Long	NbArticles	IdClustDBScan	IdClustCham	isFusion
2138	47.2460630	5.9806780	1	0	0	No
2139	47.2472420	5.9930830	1	0	0	No
2140	47.2545870	-1.5549260	1	0	0	No
2141	47.2550770	-1.5401420	1	0	0	No
2142	47.2649990	11.3428720	3	0	0	No
2143	47.2702520	11.3938890	1	0	0	No
2144	47.2733100	11.3964590	1	0	0	No
2145	47.2734980	-2.2138480	1	0	0	No
2146	47.2828200	-1.5157570	1	0	0	No
2147	47.2851550	-1.5204600	7	0	0	No
2148	47.3066290	8.5510600	1	0	0	No
2149	47.3093100	5.0702080	1	0	0	No
2150	47.3126790	5.0655440	1	0	0	No
2151	47.3156350	5.0755160	3	0	0	No
2152	47.3165170	5.0122460	1	0	0	No
2153	47.3220470	5.0414800	2	0	0	No
2154	47.3560510	0.7028450	1	0	0	No
2155	47.3576890	8.5558130	1	0	0	No
2156	47.3605580	8.4546130	2	0	0	No
2157	47.3645380	8.5338200	1	0	0	No
2158	47.3752090	8.5476910	1	0	0	No
2159	47.3757230	8.5479410	1	0	0	No
2160	47.3775170	8.5462380	3	0	0	No
2161	47.3783790	8.5465990	1	0	0	No
2162	47.3798900	8.5491530	2	0	0	No
2163	47.3833980	8.4955480	1	0	0	No
2164	47.3848620	15.0935710	1	0	0	No
2165	47.3897290	11.7809840	1	0	0	No
2166	47.3941440	0.6848400	3	0	0	No
2167	47.3942470	8.5450790	1	0	0	No
2168	47.3971480	8.6180130	1	0	0	No
2169	47.4036710	-0.2722040	1	0	0	No
2170	47.4109990	0.7789000	1	0	0	No
2171	47.4145280	8.2355570	1	0	0	No
2172	47.4195370	9.3682070	1	0	0	No
2173	47.4228760	8.5147340	1	0	0	No
2174	47.4244820	9.3767170	1	0	0	No
2175	47.4336790	8.5659180	1	0	0	No
2176	47.4732570	-0.5965730	1	0	0	No
2177	47.4738270	8.3064290	1	0	0	No
2178	47.4764800	11.0628900	7	0	0	No
2179	47.4784190	-0.5631660	3	0	0	No
2180	47.4817240	6.8406150	1	0	0	No
2181	47.4867350	8.2109100	2	0	0	No
2182	47.4988200	8.7236890	1	0	0	No
2183	47.5065840	8.7622620	1	0	0	No
2184	47.5124400	10.2787100	1	0	0	No
2185	47.5279290	7.6476370	1	0	0	No
2186	47.5385720	8.2299080	1	0	0	No
2187	47.5418170	14.8866080	1	0	0	No
2188	47.5433670	0.7441550	2	0	0	No
2189	47.5465970	8.9639750	1	0	0	No
2190	47.5480970	7.5498210	1	0	0	No
2191	47.5674420	7.5975510	3	0	0	No
2192	47.5675950	7.6035750	1	0	0	No
2193	47.5766420	10.5264350	1	0	0	No
2194	47.5795010	6.9764920	1	0	0	No
2195	47.6028240	0.4816400	1	0	0	No
2196	47.6033920	9.8879240	1	0	0	No
2197	47.6065570	1.3068570	1	0	0	No
2198	47.6169190	7.6709250	1	0	0	No
2199	47.6617650	9.4800110	18	0	0	No
2200	47.6771800	9.1682200	2	0	0	No
2201	47.6779500	9.1732380	3	0	0	No
2202	47.6824800	13.1003700	1	0	0	No
2203	47.6894700	9.1881900	1	0	0	No
2204	47.7285700	10.3157830	1	0	0	No
2205	47.7344600	8.0683200	1	0	0	No
2206	47.7346700	9.1150800	1	0	0	No
2207	47.7500580	7.3057460	3	0	0	No
2208	47.7508390	7.3358880	1	0	0	No
2209	47.7526150	7.3245660	1	0	0	No
2210	47.7579350	9.1864550	1	0	0	No
2211	47.7590010	9.1834920	1	0	0	No
2212	47.7776280	13.0679850	2	0	0	No
2213	47.7782700	9.6121300	1	0	0	No
2214	47.7792830	12.1398310	1	0	0	No
2215	47.7828600	9.6123560	3	0	0	No
2216	47.8202170	1.9298990	1	0	0	No
2217	47.8221210	11.2858100	1	0	0	No
2218	47.8234550	1.9324450	15	0	0	No
2219	47.8238400	1.9406030	1	0	0	No
2220	47.8328180	1.9417930	2	0	0	No
2221	47.8377610	2.7569780	1	0	0	No
2222	47.8404700	1.9467860	2	0	0	No
2223	47.8463880	2.7417820	1	0	0	No
2224	47.8498150	13.3424080	1	0	0	No
2225	47.8571270	12.1181050	1	0	0	No
2226	47.8582230	12.1153150	1	0	0	No
2227	47.8654080	1.8975650	1	0	0	No
2228	47.8756100	11.7280600	1	0	0	No
2229	47.8969740	10.6449590	1	0	0	No
2230	47.9029640	1.9092510	25	0	0	No
2231	47.9081920	9.8938290	1	0	0	No
2232	47.9102300	11.4274160	1	0	0	No
2233	47.9139010	11.4366020	1	0	0	No
2234	47.9139270	10.8490460	1	0	0	No
2235	47.9143990	7.2050460	1	0	0	No
2236	47.9570640	7.2994170	1	0	0	No
2237	47.9585810	16.5160140	2	0	0	No
2238	47.9742200	7.8431300	1	0	0	No
2239	47.9766770	7.8293620	1	0	0	No
2240	47.9879310	7.8435790	1	0	0	No
2241	47.9973670	0.1906970	1	0	0	No
2242	47.9975420	-4.0978990	2	0	0	No
2243	47.9990080	7.8421040	15	0	0	No
2244	47.9994130	7.8503320	1	0	0	No
2245	48.0016200	7.8478400	1	0	0	No
2246	48.0027970	7.8499100	1	0	0	No
2247	48.0033990	7.8891790	1	0	0	No
2248	48.0036100	11.3517200	3	8	8	No
2249	48.0078300	7.8590500	1	0	0	No
2250	48.0098940	7.8574670	1	0	0	No
2251	48.0195610	-2.1740580	2	0	0	No
2252	48.0255500	7.8519700	2	0	0	No
2253	48.0276800	7.8452300	2	0	0	No
2254	48.0430050	7.8205930	1	0	0	No
2255	48.0446800	11.5088100	1	8	8	No
