IDb	Year	Latitude	Longitude
4767	0	52.380063	-1.561698
4768	0	51.896892	-8.486316
4768	0	47.999008	7.842104
4769	0	50.775346	6.083887
4769	0	52.198287	0.120235
4769	0	51.430492	-0.427685
4770	0	51.896892	-8.486316
4770	0	47.999008	7.842104
4771	0	46.580224	0.340375
4771	0	41.175029	-8.599577
4771	0	48.89122	2.25769
4771	0	40.447361	-3.738431
4771	0	48.149351	11.567826
4771	0	51.608044	-1.24484
4771	0	51.380442	-2.330673
4771	0	48.692054	6.184417
4771	0	48.697161	2.189617
4771	0	48.876212	2.174242
4772	0	52.211157	5.969923
4772	0	53.342256	-6.252457
4772	0	55.860341	-4.245685
4772	0	51.454513	-2.58791
4772	0	52.392134	9.686273
4773	0	48.70929	9.00047
4773	0	40.451373	-3.727224
4774	0	48.75022	9.11409
4774	0	49.41897	8.67274
4774	0	48.74677	9.10391
4774	0	52.198287	0.120235
4774	0	53.800755	-1.549077
4774	0	48.775846	9.182932
4774	0	46.580224	0.340375
4774	0	48.876212	2.174242
4774	0	51.498179	-0.174115
4774	0	63.419326	10.402163
4775	0	51.42589	-0.568037
4775	0	54.339084	10.124824
4775	0	54.327126	10.180184
4776	0	51.945738	5.86109
4776	0	55.51376	9.621305
4777	0	51.33539	-0.742856
4777	0	55.64191	12.087845
4777	0	59.339783	17.939713
4777	0	59.899703	10.582186
4777	0	51.501436	-2.544379
4777	0	50.788721	-1.793201
4777	0	50.9097	-1.404351
4777	0	52.780835	4.676354
4777	0	52.26315	6.803263
4777	0	48.748474	9.101307
4777	0	52.766536	5.093538
4777	0	55.485157	9.305214
4778	0	55.356756	10.408249
4778	0	48.644595	2.231519
4778	0	55.342524	10.422756
4779	0	51.571062	-1.294216
4779	0	52.94125	-1.186481
4779	0	52.26315	6.803263
4779	0	51.527133	-0.10291
4779	0	51.998793	4.375587
4779	0	55.485157	9.305214
4780	0	52.473868	4.6205
4781	0	59.339783	17.939713
4781	0	38.002156	23.941411
4781	0	52.780835	4.676354
4781	0	51.984234	5.870231
4781	0	51.449433	-2.574374
4782	0	51.553145	-2.571923
4782	0	40.429717	-3.712725
4782	0	53.480759	-2.242631
4782	0	40.447629	-3.678291
4782	0	51.449433	-2.574374
4783	0	52.011577	4.357068
4783	0	45.412923	9.277743
4783	0	40.829666	14.188546
4783	0	48.878013	2.171737
4784	0	54.980441	-1.490763
4784	0	38.716903	-9.152238
4785	0	47.902964	1.909251
4785	0	50.81361	4.383699
4785	0	43.719305	10.382981
4785	0	40.522512	23.028077
4785	0	43.718156	10.405798
4785	0	38.164046	21.834307
4786	0	48.113	11.53849
4786	0	40.448893	-3.719283
4786	0	38.002156	23.941411
4786	0	40.426647	-3.688869
4787	0	49.495807	0.128651
4787	0	38.002156	23.941411
4787	0	37.980496	23.756115
4787	0	51.449433	-2.574374
4787	0	37.988023	23.732303
4788	0	37.74283	-25.680587
4788	0	45.78221	8.701015
4788	0	45.64977	13.7662
4789	0	51.447127	7.26504
4789	0	48.496896	9.394875
4789	0	51.454513	-2.58791
4789	0	48.937586	7.883884
4789	0	52.404849	9.823051
4789	0	52.312495	7.138349
4789	0	47.902964	1.909251
4789	0	50.165719	-5.174347
4789	0	48.404676	2.70162
4789	0	57.70887	11.97456
4789	0	48.846013	2.355167
4789	0	47.357689	8.555813
4789	0	52.375892	9.73201
4789	0	51.51553	7.20375
4789	0	49.01244	8.42549
4790	0	51.896892	-8.486316
4790	0	48.113	11.53849
4790	0	43.616354	7.055222
4790	0	37.510735	15.068551
4790	0	47.999008	7.842104
4790	0	52.011395	-8.344027
4791	0	52.780835	4.676354
4791	0	55.780462	12.518136
4791	0	38.002156	23.941411
4791	0	53.51789	8.11843
4791	0	55.732985	12.475951
4791	0	55.755389	-4.168
4792	0	43.36362	-5.854508
4792	0	40.425427	-3.685947
4792	0	40.466266	-3.690309
4792	0	48.948212	2.231869
4793	0	50.77936	6.075589
4793	0	59.349667	18.074668
4793	0	50.85034	4.35171
4793	0	50.85034	4.35171
4793	0	50.618843	5.585129
4793	0	40.522512	23.028077
4793	0	52.073918	-0.628755
4794	0	43.460804	5.606397
4794	0	50.801919	5.220265
4794	0	48.796899	2.280397
4795	0	59.339783	17.939713
4795	0	51.998891	4.373592
4795	0	52.780835	4.676354
4796	0	52.370154	4.926629
4796	0	52.780835	4.676354
4796	0	55.51376	9.621305
4797	0	50.865155	4.678824
4797	0	47.999008	7.842104
